cik,name,alias,alias_clean,alias_source
0000812152,RIDGEFIELD ACQUISITION CORP,BIO MEDICAL AUTOMATION INC,bio medical automation,input_alias
0000812152,RIDGEFIELD ACQUISITION CORP,OZO DIVERSIFIED AUTOMATION INC /CO/,ozo diversified automation inc co,input_alias
0000812796,"SOLIGENIX, INC.",DOR BIOPHARMA INC,dor biopharma,input_alias
0000812796,"SOLIGENIX, INC.",ENDOREX CORP,endorex,input_alias
0000812796,"SOLIGENIX, INC.",IMMUNOTHERAPEUTICS INC,immunotherapeutics,input_alias
0000813298,"DESTINATION XL GROUP, INC.",CASUAL MALE RETAIL GROUP INC,casual male retail,input_alias
0000813298,"DESTINATION XL GROUP, INC.",DESIGNS INC,designs,input_alias
0000813672,CADENCE DESIGN SYSTEMS INC,ECAD INC /DE/,ecad inc de,input_alias
0000813716,CIRTRAN CORP,VERMILLION VENTURES INC,vermillion ventures,input_alias
0000813762,ICAHN ENTERPRISES L.P.,AMERICAN REAL ESTATE PARTNERS L P,american real estate partners l p,input_alias
0000813828,Paramount Global,CBS CORP,cbs,input_alias
0000813828,Paramount Global,VIACOM INC,viacom,input_alias
0000813828,Paramount Global,ViacomCBS Inc.,viacomcbs,input_alias
0000814453,NEWELL BRANDS INC.,NEWELL RUBBERMAID INC,newell rubbermaid,input_alias
0000814676,CPS TECHNOLOGIES CORP/DE/,CERAMICS PROCESS SYSTEMS CORP/DE/,ceramics process systems corpde,input_alias
0000814926,"CAPSTONE COMPANIES, INC.",CBQ INC,cbq,input_alias
0000814926,"CAPSTONE COMPANIES, INC.",CHDT CORP,chdt,input_alias
0000814926,"CAPSTONE COMPANIES, INC.",CHINA DIRECT TRADING CORP,china direct trading,input_alias
0000815097,CARNIVAL CORP,CARNIVAL CRUISE LINES INC,carnival cruise lines,input_alias
0000815917,JONES FINANCIAL COMPANIES LLLP,JONES FINANCIAL COMPANIES L P,jones financial companies l p,input_alias
0000815917,JONES FINANCIAL COMPANIES LLLP,JONES FINANCIAL COMPANIES LP LLP,jones financial companies lp llp,input_alias
0000818033,"HERON THERAPEUTICS, INC. /DE/",ADVANCED POLYMER SYSTEMS INC /DE/,advanced polymer systems inc de,input_alias
0000818033,"HERON THERAPEUTICS, INC. /DE/",AP PHARMA INC /DE/,ap pharma inc de,input_alias
0000818479,DENTSPLY SIRONA Inc.,DENTSPLY INTERNATIONAL INC /DE/,dentsply international inc de,input_alias
0000818479,DENTSPLY SIRONA Inc.,GENDEX CORP,gendex,input_alias
0000819793,ALBANY INTERNATIONAL CORP /DE/,ALBINT INC,albint,input_alias
0000820027,AMERIPRISE FINANCIAL INC,AMERICAN EXPRESS FINANCIAL ADVISORS,american express financial advisors,input_alias
0000820027,AMERIPRISE FINANCIAL INC,AMERICAN EXPRESS FINANCIAL CORP,american express financial,input_alias
0000820027,AMERIPRISE FINANCIAL INC,IDS FINANCIAL CORP/MN/,ids financial corpmn,input_alias
0000820318,COHERENT CORP.,II-VI INC,iivi,input_alias
0000820771,Goliath Film & Media Holdings,CHINA ADVANCED TECHNOLOGY,china advanced technology,input_alias
0000820771,Goliath Film & Media Holdings,CHINA ADVANCED TECHOLOGY,china advanced techology,input_alias
0000820771,Goliath Film & Media Holdings,WESTMARK GROUP HOLDINGS INC,westmark,input_alias
0000821002,G III APPAREL GROUP LTD /DE/,ANTE CORP,ante,input_alias
0000821026,"Andersons, Inc.",ANDERSONS MANAGEMENT CORP,andersons management,input_alias
0000821189,EOG RESOURCES INC,ENRON OIL & GAS CO,enron oil gas,input_alias
0000821483,"PAR PACIFIC HOLDINGS, INC.",DELTA PETROLEUM CORP/CO,delta petroleum corpco,input_alias
0000821483,"PAR PACIFIC HOLDINGS, INC.",PAR PETROLEUM CORP/CO,par petroleum corpco,input_alias
0000822370,"Emmaus Life Sciences, Inc.","CNS RESPONSE, INC.",cns response,input_alias
0000822370,"Emmaus Life Sciences, Inc.","MYnd Analytics, Inc.",mynd analytics,input_alias
0000822370,"Emmaus Life Sciences, Inc.","STRATIVATION, INC.",strativation,input_alias
0000822416,PULTEGROUP INC/MI/,PHM CORP,phm,input_alias
0000822416,PULTEGROUP INC/MI/,PULTE CORP,pulte,input_alias
0000822416,PULTEGROUP INC/MI/,PULTE HOMES INC/MI/,pulte homes incmi,input_alias
0000822663,INTERPARFUMS INC,INTER PARFUMS INC,inter parfums,input_alias
0000822663,INTERPARFUMS INC,JEAN PHILIPPE FRAGRANCES INC,jean philippe fragrances,input_alias
0000823277,CHS INC,CENEX HARVEST STATES COOPERATIVES,cenex harvest states cooperatives,input_alias
0000823277,CHS INC,HARVEST STATES COOPERATIVES,harvest states cooperatives,input_alias
0000823768,WASTE MANAGEMENT INC,USA WASTE SERVICES INC,usa waste services,input_alias
0000824142,"AAON, INC.",DIAMOND HEAD RESOURCES INC,diamond head resources,input_alias
0000824416,QUEST PATENT RESEARCH CORP,PHASE OUT OF AMERICA INC,phase out of america,input_alias
0000824416,QUEST PATENT RESEARCH CORP,QUEST PRODUCTS CORP,quest products,input_alias
0000825313,ALLIANCEBERNSTEIN HOLDING L.P.,ALLIANCE CAPITAL MANAGEMENT HOLDING LP,alliance capital management holding lp,input_alias
0000825313,ALLIANCEBERNSTEIN HOLDING L.P.,ALLIANCE CAPITAL MANAGEMENT LP,alliance capital management lp,input_alias
0000825324,Good Times Restaurants Inc.,PARAMOUNT VENTURES INC,paramount ventures,input_alias
0000825542,SCOTTS MIRACLE-GRO CO,CDS HOLDING CORP,cds,input_alias
